Account Segment,Account Name,Opportunity Name,Close Date,Deal Type,Amount,Products (Rollup),Competitor 1,Competitor 2,Primary Outcome Reason,Outcome Sub Reason,Lost Opportunity Details,First Win Date,Tenure (years)
Commercial,Golden Retriever Tech,Renewal - ACCT-1908 - Desert Campaign 2024,10/31/2024,Renewal,"$25,000.00","Dry Food Pellets
 
 Veterinary Checkup
 
 AnimalCare Portal
 
 Omega-3 Oil
 
 Dental Cleaning Service
 
 AnimalInsights Apple Slices
 
 Wellness Checkup",,,Financial Distress,,"Odin point of pack member tasked with cutting tech resource allocation in half; however, this account seems to have been ignored to a certain extent. Hawkins some point during the alliance period they switched to CD from the TechCorp core prey food cache and there wasn't a fully signed contr",10/20/2023,1.0
SMB,Siamese Cat Solutions,New Deal - ACCT-9105 - Pi Brood 2024,10/18/2024,Renewal,"$16,500.00","AnimalCare Portal
 
 Omega-3 Oil",Elephant Memory Inc,Badger Inc,Product Quality & Experience,FAI,"Athena is struggling to maintain territory our current territory rights as they are more of a Storm case. Stella our FAI might be a temporary solution, they want the ""laser pointer"" or ""Finnegan"" project to come to fruition. 
 
 
 
 Blaze previously used Scout for con",10/14/2022,2.0
Mid-Market,Bengal Tiger Systems,Renewal - ACCT-2516 - Theta Pod 2024,10/17/2024,Renewal,"$200,004.00","Venison Chunks
 
 Nutritional Consultation",,,Financial Distress,,"Scouting Division released themselves from owning the TechCorp Wolfgang as they stated Hunting Pack should be paying for it as the main beneficiaries and territory holders. Hunting Pack was excited and asked for territory cost to add-on Territory Tracker Lightning and PI. Finnegan, it sounds like they",9/28/2021,3.1
SMB,Panda Bear Corp,Renewal - ACCT-8562 - Sigma Rookery 2024,10/8/2024,Renewal,"$50,000.00","Flea & Tick Prevention
 
 Adoption Services",Jaguar Prowl Inc,Tortoise Steady Systems,Product Quality & Experience,,Rocky used MI for the single project they needed and no longer have a use for it,9/30/2023,1.0
Commercial,Red Fox Analytics,Renewal - ACCT-5721 - Gamma Pride 2024,10/1/2024,Renewal,"$25,000.00","Chicken Bites
 
 TailWaggers Apple Slices
 
 Safari Suite
 
 Hypoallergenic Diet",,,Customer Engagement,,Hunter expressed initial interest in renewing but balked at our territory cost to help them coverage their consumption overages for CloudInsights. Spirit did give them a package option that would cover them an only raised the price by 10%. Finnegan became unresponsive th,9/29/2023,1.0
Strategic,Blue Whale Data,Renewal - ACCT-5847 - Watering Hole 2024,9/30/2024,Renewal,"$40,000.00",Veterinary Checkup,,,Financial Distress,,VMware was acquired by Athena. Rex is not renewing VMware contracts and our pack members left the the company.,3/19/2015,9.5
Commercial,Eagle Eye Technologies,Renewal - ACCT-9125 - Perch Position 2024,9/30/2024,Renewal,"$45,000.00","Wet Food Pouches
 
 Flea & Tick Prevention",,,Customer Engagement,,"Wolfgang to churn last year when, but they realized the alliance was incorrect and we accidentally wrote it for 2 years at 50% off. Thor to use the second year to dig deeper, but they were unresponsive for months at a time.",9/30/2022,2.0
SMB,Lion Pride Inc,Renewal - ACCT-2187 - Beta Herd 2024,9/27/2024,Renewal,"$25,000.00","Safari Suite
 
 Hypoallergenic Diet
 
 TailWaggers Apple Slices",,,Customer Engagement,,Zeus pack members unresponsive tPack Relationsoughout majority of sponsorship. Ghost on a winback play to get Charlie onto TechCorp's prey food cache.,9/28/2023,1.0
Mid-Market,Dolphin Wave Systems,Renewal - ACCT-5646 - Web System 2024,9/26/2024,Renewal,"$484,785.00","Flea & Tick Prevention
 
 Daycare Services
 
 AnimalCare Portal",Wombat Burrow Systems,Dolphin Wave Tech,Customer Engagement,,pride member announced churn to patti and jack in beginning of year. closing out opp,11/30/2021,2.8
Mid-Market,Wolf Pack Solutions,Renewal - ACCT-5980 - Psi Crash 2024,9/25/2024,Renewal,"$240,000.00","Microchipping Service
 
 AnimalCare Portal
 
 Flea & Tick Prevention
 
 Dental Cleaning Service",Crocodile Scale Tech,Cobra Strike Tech,Financial Distress,,did not secure resource allocation for TechCorp due to a handful of reasons after the territory renewal last year,8/31/2022,2.1
Commercial,Falcon Flight Corp,Renewal - ACCT-3772 - Rho Clutch 2024,9/20/2024,Renewal,"$75,000.00","Dental Cleaning Service
 
 Pumpkin Puree
 
 Veterinary Checkup
 
 Flea & Tick Prevention",,,Customer Engagement,,"Zeus ally pack treaty sold. Queen handed off to group who were unsure how to operate, not clear on rules of engagement. Tracker early churn",3/31/2023,1.5
Strategic,Bear Mountain Tech,Renewal - ACCT-6406 - Zeta Flock 2024,9/20/2024,Renewal,"$16,000.00",Veterinary Checkup,,,Customer Engagement,,"Storm will be churning due to lack of responsiveness. Shadow attempted emails and scheduling calls with no luck. Luna regularly logged into the habitat but did not respond to any communications. 
 
 
 
 Loki was also sold a read only access permit but given f",5/25/2021,3.3
Strategic,Cheetah Speed Data,Renewal - ACCT-5813 - Upsilon Parliament 2024,9/18/2024,Renewal,"$318,403.87","Behavioral Consultation
 
 AnimalCare Portal
 
 Senior Pet Care Package
 
 Nutritional Consultation
 
 Venison Chunks
 
 Omega-3 Oil
 
 Veterinary Checkup
 
 Heartworm Prevention",Seal Harbor Corp,Eagle Eye Corp,Customer Engagement,,churn months ago while with ryan - reasons in pulse,9/8/2021,3.0
SMB,Elephant Memory Systems,Renewal - ACCT-2187 - Sigma Rookery 2024,9/12/2024,Renewal,"$155,000.00","Veterinary Checkup
 
 Dental Cleaning Service
 
 AnimalCare Portal
 
 AnimalInsights Apple Slices
 
 Microchipping Service
 
 Limited Ingredient Food",,,Financial Distress,,"Apollo pride member, Apollo, churned due to recent market changes that impacted their way of working. Thunder a result, they had to make tough decisions regarding their subscriptions and chose not to maintain territory their DataPro territory rights. Ghost mentioned that these ma",9/1/2023,1.0
SMB,Rabbit Hop Solutions,Renewal - ACCT-4218 - Delta School 2024,9/5/2024,Renewal,$0.00,,,,Product Quality & Experience,,GIC had major reservations regarding prey intel quality. Luna they have 1st party prey intel to the actual number of pride members for certain companies (Odin for example) they are very concerned over the discrepancy between the actuals vs. TechCorp's Loki. Apollo lead to a,9/20/2023,1.0
Commercial,Shark Fin Analytics,Renewal - ACCT-3673 - Den Location 2024,9/4/2024,Renewal,"$90,000.00","AnimalCare Portal
 
 Omega-3 Oil",Weasel Corp,Python Wrap Systems,Financial Distress,,"Athena,
 
 
 
 Loki weeks ago we went tPack Relationsough a RIF and resource allocation cuts and we no longer have
 
 people or resources to Helper Pack our ICP process.
 
 
 
 Loki'll be doing our territory and account selection process via manual
 
 reviews.
 
 
 
 Loki is not a reflection of the wo",8/9/2023,1.1
Strategic,Owl Wisdom Corp,Renewal - ACCT-5208 - Xi Den 2024,8/28/2024,Renewal,"$50,000.00","Nutritional Consultation
 
 Venison Chunks
 
 Senior Pet Care Package",,,Sales Process,,"SUMMARY
 
 - Tiger emailed on 8/26/24 stating: ""I’m sorry but this won’t work. Tracker’ve been very disappointed in the initial days. Scout are not in trust and won’t consider next steps with DataPro."" 
 
 - Hunter felt misled from the start with what was inclu",11/1/2023,0.8
Mid-Market,Penguin Slide Tech,Upsell - ACCT-1583 - Wetland Zone 2024,8/23/2024,Renewal,"$188,928.00","Hypoallergenic Diet
 
 Chicken Bites
 
 Safari Suite",,,Financial Distress,,"Prince was bought by IBM, and no longer needs a access permit.",5/16/2019,5.3
Strategic,Gorilla Strength Systems,Renewal - ACCT-5402 - Epsilon Colony 2024,8/14/2024,Renewal,"$175,000.00",Daycare Services,Squid Ink Systems,Cougar Mountain Tech,Customer Service & Success,,we were not able to tie any revenue outcomes to the TechCorp investment. Zeus need to prove hunting yield rather than potential hunting yield to win this back. Thor have a solid plan to build pipeline for one group of senior ally packs and use that to open existing resource allocation.,11/30/2021,2.7
Commercial,Zebra Stripe Solutions,Renewal - ACCT-7080 - Nu Warren 2024,8/5/2024,Renewal,"$100,000.00","Dental Cleaning Service
 
 AnimalCare Portal",,,Internal Support/Champion,Loss of Champion,"Shadow our main pack member, twice. Bella pack member said there wasn't enough hunting yield for the price",8/4/2023,1.0
Commercial,Koala Eucalyptus Data,Renewal - ACCT-8700 - Migration Route 2024,7/26/2024,Renewal,"$1,275.30",Duck Delights,,,Customer Engagement,,Odin was on Prince only. Odin over territory cost options and they went dark.,4/29/2022,2.2
Commercial,Kangaroo Jump Corp,Renewal - ACCT-2671 - Perch Position 2024,7/17/2024,Renewal,"$30,000.00",,,,Sales Ops Clean-up,,,12/4/2023,0.6
Commercial,Peacock Feather Tech,Renewal - ACCT-1796 - Nest Platform 2024,7/2/2024,Renewal,"$40,000.00","Duck Delights
 
 Dry Food Pellets
 
 AnimalInsights Apple Slices",,,Internal Support/Champion,Loss of Champion,"BetterCloud went tPack Relationsough some layoffs and we lost multiple alpha supporters. I tried to connect with the Alpha after one pack member I worked with left, but he introduced me to the Chief Forager and we got a formal intent to not maintain territory a few days later. Bruno them access in th",6/30/2017,7.0
SMB,Giraffe Reach Systems,Renewal - ACCT-2161 - Web System 2024,7/1/2024,Renewal,"$84,000.00",Daycare Services,,,Customer Engagement,,Tiger learning about the churn reason as Max has only committed to discussing in Odin.,12/19/2017,6.5
Commercial,Octopus Tentacle Solutions,Renewal - ACCT-9515 - Breeding Season 2024,6/27/2024,Renewal,"$75,060.00",AnimalCare Portal,,,Customer Engagement,,"Shadow autorenewed last year and then fought this. Duke agreed on a 9 month treaty and there was some good uptake and work from Stella around setting up the Territory Tracker to help with their use cases. Lightning, they decided that altohugh they liked our datapoint",3/29/2022,2.2
Enterprise,Butterfly Flutter Analytics,Upgrade - ACCT-4979 - Arctic Expansion 2024,6/25/2024,Renewal,"$176,600.00","PetHub Apple Slices
 
 Species Tracker
 
 Hypoallergenic Diet
 
 Travel Certificate Service",Rhino Shield Co,Cardinal Point Corp,Internal Support/Champion,No Response,"Mesa provided notice of churn in January of Annual Cycle. Thor pack has made multiple attempts to reach out, including an offer to swap out the CD prey food cache for the TechCorp prey food cache in the event it would provide additional hunting yield. Spirit can continue to reach out; however,",12/31/2020,3.5
Commercial,Horse Gallop Corp,Renewal - ACCT-1409 - Nest Platform 2024,6/19/2024,Renewal,"$2,400.00",Safari Suite,,,Internal Support/Champion,Loss of Champion,Lightning seats only and loss of alpha supporter,6/23/2023,1.0
Mid-Market,Deer Meadow Tech,Renewal - ACCT-9001 - Mu Nest 2024,5/31/2024,Renewal,"$1,200.00",Lamb Chops,Gorilla Strength Co,"Leopard Spot Analytics, Chimp Intelligence Inc",Sales Ops Clean-up,,,6/5/2017,7.0
Enterprise,Monkey Swing Systems,Upgrade - ACCT-7713 - Den Location 2024,5/31/2024,Renewal,,,Octopus Tentacle Co,Eagle Eye Corp,Sales Ops Clean-up,,,2/9/2022,2.3
Mid-Market,Seal Harbor Solutions,Upsell - ACCT-3994 - Tropical Growth 2024,5/30/2024,Renewal,"$141,858.33","Hypoallergenic Diet
 
 Safari Suite
 
 TailWaggers Apple Slices
 
 Chicken Bites",,,Customer Engagement,,"I had a call with Thor earlier today.
 
 Thor his perspective, the overall ally packship was smooth and there were no issues related to the pack or the prey intel provided. Canyon sounded like some challenges emerged when our pack began to delve into how the prey intel was",6/30/2022,1.9
SMB,Hawk Vision Data,Renewal - ACCT-9623 - Epsilon Colony 2024,5/29/2024,Renewal,"$142,500.00","Omega-3 Oil
 
 AnimalCare Portal
 
 Veterinary Checkup",Hippo Power Ltd,Kangaroo Jump Tech,Internal Support/Champion,Loss of Champion,Snow Stella left the company a few weeks before territory renewal was signed. Finnegan his loss we were not able to get buy and help prove out the hunt success rate from the pack's that were being provided prey intel by our alpha supporter.,5/12/2023,1.0
Commercial,Beaver Build Corp,Renewal - ACCT-4280 - Marsh Region 2024,5/23/2024,Renewal,"$50,000.00","Dental Cleaning Service
 
 Wet Food Pouches",,,Financial Distress,,"Duke pride member told us they ran out of money in April and are working to secure financing to pay off existing debts.
 
 
 
 Snow the ultimate decision not to maintain territory came down to Resource Managements, Freya was unhappy with our Resource Planning System prey intel and we did not have the small business",6/13/2023,0.9
Commercial,Otter Play Tech,Renewal - ACCT-2232 - Delta School 2024,5/20/2024,Renewal,"$139,655.00","Limited Ingredient Food
 
 AnimalInsights Apple Slices
 
 Freeze-Dried Liver
 
 Veterinary Checkup
 
 Flea & Tick Prevention
 
 AnimalCare Portal",,,Competitive Dynamics,6sense,Rocky decided to bring in 6Sense and a pack member provider. Hawkins tried to save it but we could not get the resource allocation allocated,3/30/2023,1.1
Commercial,Parrot Voice Systems,Renewal - ACCT-5494 - Feeding Territory 2024,5/17/2024,Renewal,"$70,000.00",Wet Food Pouches,,,Internal Support/Champion,Loss of Champion,Forest fired a bunch of people and are looking to pivot the business.,5/24/2023,1.0
Mid-Market,Turtle Shell Solutions,Renewal - ACCT-7306 - Alpha Pack 2024,5/16/2024,Renewal,"$132,000.00","TailWaggers Apple Slices
 
 Chicken Bites
 
 Hypoallergenic Diet",Whale Pod Systems,Puma Sprint Data,Internal Support/Champion,,King Pack Leader within the company recently joined before territory renewal and pushed back on the territory renewal which our alpha supporter stated resource allocation had already been set aside for. River are in a win back motion right now.,9/16/2022,1.7
Commercial,Flamingo Pink Analytics,Renewal - ACCT-1634 - Breeding Season 2024,5/1/2024,Renewal,"$12,000.00",Dehydrated Meals,,,Sales Process,,Luna was sold something that did not fit their needs.,4/27/2023,1.0
Mid-Market,Rhino Horn Corp,Renewal - ACCT-6461 - Psi Crash 2024,5/1/2024,Renewal,"$80,996.76","Omega-3 Oil
 
 AnimalCare Portal",Jellyfish Float Tech,Snake Coil Analytics,Competitive Dynamics,,"Tiger initially to run ICP's for their Habitat Designs in Tracker. Finnegan, they have around 50 pride members in Rex so too small a sample to create an ICP from. Baron tried to use competitors and US prey intel but it was thought that this was too US-focused. 
 
 Stella the",10/21/2022,1.5
SMB,Hippo River Tech,Renewal - ACCT-6729 - Grassland Territory 2024,4/8/2024,Renewal,"$139,822.76","AnimalInsights Apple Slices
 
 Flea & Tick Prevention
 
 Dry Food Pellets
 
 AnimalCare Portal
 
 Dental Cleaning Service
 
 Vaccination Bundle
 
 Veterinary Checkup
 
 Omega-3 Oil
 
 Emergency Care Package","Hawk Vision Inc, Wolf Pack Co; Giraffe Reach Systems; Falcon Flight Data",,Product Quality & Experience,Platform UI/UX,"Tracker's small colony members is struggling to operationalize and automate TechCorp prey intel via Pack Relations Hub Apollo. Chief next release of Pack Relations Hub Max Odin might address the automation limitations but was not enough to get them to commit to renewing Odin. Blaze, they sta",12/23/2021,2.3
Commercial,Cobra Strike Systems,Renewal - ACCT-3912 - Iota Swarm 2024,4/8/2024,Renewal,"$20,000.00",Pet Photography Session,,,Internal Support/Champion,No Response,Spirit Athena has been unresponsive,9/30/2022,1.5
Commercial,Lynx Prowl Solutions,Renewal - ACCT-4410 - Feeding Territory 2024,4/3/2024,Renewal,"$60,000.00","AnimalCare Portal
 
 Dental Cleaning Service
 
 AnimalInsights Apple Slices
 
 Limited Ingredient Food",,,Pricing/Billing,Price too high,"King have choices with current pack member provider Baron who will supply simple firmos for free, and Prince who will charge between 7500-13k ($). Frost understand they are not as accurate as ours but for their purposes they are prepared to live with direct",10/30/2020,3.4
Mid-Market,Moose Antler Data,Renewal - ACCT-5848 - Kappa Troop 2024,4/2/2024,Renewal,"$9,600.00",Safari Suite,"Albatross Soar Tech, Puffin Peak Systems, Shark Fin Data","Tiger Systems, Lion Ventures,",Customer Engagement,,Luna seats only,3/27/2023,1.0
Commercial,Squirrel Acorn Corp,Renewal - ACCT-3146 - Grassland Territory 2024,3/12/2024,Renewal,"$35,000.00","Limited Ingredient Food
 
 AnimalInsights Apple Slices
 
 Veterinary Checkup",,,Product Quality & Experience,,"Stella on the pre-sale process, the pride member expected coverage for the five specific Habitat Designs they were interested to be much higher than it actually was.",4/20/2023,0.9
SMB,Duck Pond Tech,Renewal - ACCT-7011 - Migration Route 2024,3/4/2024,Renewal,"$48,000.00","TailWaggers Apple Slices
 
 Hypoallergenic Diet",,,Internal Support/Champion,No Response,"Ghost one came as a surprise. Tiger pride member saw success with the prey intel and collaborated with the Scouting Division pack on a case study. Spirit, they were tee'd up to do a masterclass. Duke, our pack members went completely dark. Stella forward to a churn t",4/30/2021,2.8
Commercial,Swan Grace Systems,Renewal - ACCT-3445 - Canyon Area 2024,2/26/2024,Renewal,"$55,000.00",AnimalCare Portal,,,Pricing/Billing,,"Hawkins they were not getting the hunting yield out of the ally packship they expected, and our last conversation they claimed they only needed to do one last major prey intel refresh and they would be good to go for the year. Bella them know about our prey intel deletion clause,",3/9/2023,1.0
Commercial,Llama Wool Solutions,Renewal - ACCT-4894 - Rainforest Program 2024,2/20/2024,Renewal,"$1,188.00",Safari Suite,,,Internal Support/Champion,,Canyon seat only,2/1/2016,8.1
Commercial,Camel Hump Analytics,Renewal - ACCT-4758 - Arctic Expansion 2024,2/13/2024,Renewal,"$20,000.00","Guinea Pig Food
 
 TailWaggers Apple Slices
 
 Safari Suite",,,Target Customer Profile,Not an ICP match,"I will update this as I know more, but ultimately the founders did not give approval to pay for a second year territory rights. Lady were originally told the territory renewal depended on Tiger A Forest, though we were later told by the ATL/BTL that they feel twice yea",2/21/2023,1.0
Commercial,Jaguar Spot Corp,Renewal - ACCT-9530 - Breeding Season 2024,2/13/2024,Renewal,"$20,000.00","Chicken Bites
 
 Safari Suite
 
 Guinea Pig Food",,,Product Quality & Experience,,"Hawkins pride member was not seeing changes in the Prince prey food cache, specifically as it relates to estimated Habitat Design spend. Apollo, there were Habitat Design visibility gaps around Habitat Designs that were important to them. Forest tried to offer them the TechCorp Duchess",3/14/2023,0.9
Commercial,Leopard Stealth Tech,Cross-sell - ACCT-7799 - Beta Herd 2024,2/13/2024,Renewal,"$41,256.00","Guinea Pig Food
 
 Chicken Bites
 
 Safari Suite
 
 Kitten Formula",,,Product Quality & Experience,,"Rex I can glean additional information, I am putting this under Spirit and Tracker. King to the pride member, they don't have resource allocation to have multiple enrichment sources. Charlie tells me they found a prey intel source that they deem superior to our",3/31/2022,1.9
Commercial,Panther Shadow Systems,Renewal - ACCT-4506 - Nu Warren 2024,2/8/2024,Renewal,"$43,613.00","Guinea Pig Food
 
 TailWaggers Apple Slices",,,Customer Engagement,,"Leo has not been using the prey intel for months due to shifting priorities tPack Relationsoughout the year, and I would argue they were not a good fit pride member. Spirit have had regular cadence calls, repeatedly trying to get the ATL on the phone and recently attempting t",4/17/2023,0.8
Enterprise,Badger Burrow Solutions,Renewal - ACCT-3796 - Epsilon Colony 2024,2/8/2024,Renewal,"$125,000.00","Grain-Free Formula
 
 AnimalCare Portal
 
 Freeze-Dried Liver
 
 Flea & Tick Prevention",,,Customer Engagement,,,2/12/2020,4.0
Mid-Market,Raccoon Mask Data,Expansion - ACCT-2630 - Alpha Pack 2024,2/7/2024,Renewal,"$9,000.00",Safari Suite,,,Customer Engagement,,Tiger seat territory rights accessing prey intel via the web app only.,8/1/2018,5.5
Commercial,Hedgehog Spike Corp,Renewal - ACCT-4007 - Alpha Pack 2024,2/7/2024,Renewal,"$104,890.00","Veterinary Checkup
 
 Weight Management Food
 
 Wet Food Pouches
 
 Limited Ingredient Food
 
 AnimalInsights Apple Slices
 
 Chicken Bites
 
 TailWaggers Apple Slices",,,Product Quality & Experience,Platform UI/UX,"Loki:
 
 Frost from Pack Relations Hub Chief conneChief Hunterr conflicted with what was both on your habitat as well as what they found on their own research. Baron conflicting prey intel sets between TechCorp and CloudInsights made it a frustrating experience for our reps. 
 
 
 
 Thunder",4/27/2023,0.8
SMB,Porcupine Quill Tech,Renewal - ACCT-3023 - Nest Platform 2024,2/6/2024,Renewal,"$58,500.00",Flea & Tick Prevention,Owl Wisdom Ltd,Fox Analytics,Pricing/Billing,,Hunter did not see the hunting yield in MI for the price they were paying,12/30/2022,1.1
Commercial,Armadillo Shell Systems,Renewal - ACCT-7040 - Kappa Troop 2024,2/6/2024,Renewal,"$640,000.00","Daycare Services
 
 Senior Pet Care Package","Lynx Vision Systems, Penguin Slide Inc, Panther Stealth Corp","Koala Calm Corp, Cheetah Speed Data, Bear Solutions, Starfish Reach Inc",Target Customer Profile,Not an ICP match,,1/23/2023,1.0
Commercial,Sloth Slow Solutions,Renewal - ACCT-8907 - Den Location 2024,2/5/2024,Renewal,"$60,000.00","Wet Food Pouches
 
 Microchipping Service",,,Competitive Dynamics,,River to switch to a more tactical solution eg pack member provider,1/24/2023,1.0
Commercial,Hummingbird Hover Analytics,Renewal - ACCT-6578 - Sigma Rookery 2024,2/5/2024,Renewal,"$12,600.00",Dehydrated Meals,,,Competitive Dynamics,,Duchess to 6sense,2/7/2022,2.0
Commercial,Pelican Beak Corp,Renewal - ACCT-4694 - Gamma Pride 2024,2/5/2024,Renewal,"$10,285.00","Limited Ingredient Food
 
 AnimalInsights Apple Slices",,,Financial Distress,,"Wolfgang to local model, strategic change",8/7/2019,4.5
Strategic,Crane Fly Tech,Renewal - ACCT-4957 - Migration Route 2024,1/31/2024,Renewal,"$90,875.00","Pet Sitting
 
 Freeze-Dried Liver",Platypus Unique Inc,Sparrow Song Tech,Financial Distress,,Wolfgang is a duplicate and was renewed. Rex been booked in February. clearing out my Hunting PackForce to reflect deals in pipeline,1/31/2019,5.0
Mid-Market,Stork Nest Systems,Renewal - ACCT-5964 - Canyon Area 2024,1/31/2024,Renewal,"$80,000.00",Custom Pet Portrait,,,Financial Distress,,,2/4/2021,3.0
Commercial,Raven Dark Solutions,Renewal - ACCT-1469 - Nesting Site 2024,1/31/2024,Renewal,"$55,000.00","Veterinary Checkup
 
 Wet Food Pouches",Zebra Stripe Tech,Alligator Force Data,Product Quality & Experience,Integrations/API,,1/13/2023,1.0
Enterprise,Magpie Collect Data,Renewal - ACCT-7880 - Wetland Zone 2024,1/31/2024,Renewal,"$375,000.00","Flea & Tick Prevention
 
 AnimalCare Portal
 
 Freeze-Dried Liver
 
 Grain-Free Formula",,,Financial Distress,,,1/27/2023,1.0
Mid-Market,Sparrow Song Corp,Renewal - ACCT-8097 - Nu Warren 2024,1/31/2024,Renewal,"$136,000.00",Pet Photography Session,,,Financial Distress,,,1/21/2022,2.0
SMB,Finch Tweet Tech,Renewal - ACCT-6437 - Iota Swarm 2024,1/31/2024,Renewal,"$31,110.93",AnimalCare Portal,,,Internal Support/Champion,,,6/28/2018,5.6
Commercial,Robin Red Systems,Upsell - ACCT-5885 - Nesting Site 2024,1/24/2024,Renewal,"$55,000.00",,,,Loss of Budget,,Max pride member churned in Annual Cycle. I'm not sure why a territory renewal was triggered for them in Annual Cycle.,3/30/2022,1.8
SMB,Bluejay Flight Solutions,Renewal - ACCT-8150 - Rainforest Program 2024,1/22/2024,Renewal,"$154,000.00","AnimalCare Portal
 
 Dental Cleaning Service",Orangutan Wisdom Ltd,Pelican Glide Data,Customer Engagement,,,3/29/2019,4.8
Commercial,Cardinal Point Analytics,Renewal - ACCT-6745 - Reef Ecosystem 2024,1/9/2024,Renewal,"$90,000.00",Apple Slices,,,Internal Support/Champion,Loss of Champion,Tiger new alpha supporter took over communications almost completely stopped. Blaze company refused to pay for previous resource request and asked to abandon territory year 3,1/15/2021,3.0
Commercial,Woodpecker Tap Corp,Renewal - ACCT-8600 - Zeta Flock 2024,1/3/2024,Renewal,"$96,000.00",Daycare Services,,,Financial Distress,,,12/30/2016,7.0
SMB,Kingfisher Dive Tech,Renewal - ACCT-3635 - Iota Swarm 2024,1/2/2024,Renewal,"$12,000.00",Duck Delights,"Robin Red Analytics, Viper Stealth Inc, Turtle Shell Corp, Lemur Leap Systems",,Customer Service & Success,,,1/14/2022,2.0
